timestamp_s,demanded_current_A,vref_V
125,30.0,0.3
126,20.843,0.20843
127,11.671,0.11671
128,21.373,0.21373
129,29.401,0.29401
130,20.513,0.20513
131,12.127,0.12127
132,21.163,0.21163
133,29.954,0.29954
134,20.829,0.20829
135,12.026,0.12026
136,21.198,0.21198
137,29.704,0.29704
138,20.854,0.20854
139,12.383,0.12383
140,21.196,0.21196
141,30.0,0.3
142,20.959,0.20959
143,11.905,0.11905
144,20.84,0.2084
145,29.873,0.29873
146,20.652,0.20652
147,11.864,0.11864
148,21.211,0.21211
149,29.953,0.29953
150,9.738,0.09738
151,8.857,0.08857
152,10.041,0.10041
153,13.248,0.13248
154,15.551,0.15551
155,16.966,0.16966
156,16.235,0.16235
157,14.552,0.14552
158,11.542,0.11542
159,9.78,0.0978
160,8.885,0.08885
161,10.463,0.10463
162,12.919,0.12919
163,15.58,0.1558
164,16.65,0.1665
165,16.67,0.1667
166,14.622,0.14622
167,11.67,0.1167
168,9.592,0.09592
169,8.872,0.08872
170,10.275,0.10275
171,13.363,0.13363
172,15.742,0.15742
173,17.333,0.17333
174,16.112,0.16112
175,14.066,0.14066
176,11.959,0.11959
177,9.199,0.09199
178,9.063,0.09063
179,10.466,0.10466
180,12.373,0.12373
181,15.519,0.15519
182,15.241,0.15241
183,11.998,0.11998
184,8.594,0.08594
185,8.899,0.08899
186,11.737,0.11737
187,15.509,0.15509
188,15.387,0.15387
189,11.993,0.11993
190,8.525,0.08525
191,8.418,0.08418
192,12.38,0.1238
193,15.495,0.15495
194,15.156,0.15156
195,11.774,0.11774
196,8.183,0.08183
197,8.671,0.08671
198,11.639,0.11639
199,15.122,0.15122
200,15.318,0.15318
201,11.837,0.11837
202,8.386,0.08386
203,8.174,0.08174
204,12.021,0.12021
205,15.825,0.15825
206,15.262,0.15262
207,11.814,0.11814
208,8.464,0.08464
209,8.628,0.08628
210,12.758,0.12758
211,12.32,0.1232
212,10.013,0.10013
213,7.384,0.07384
214,6.683,0.06683
215,7.263,0.07263
216,9.584,0.09584
217,11.482,0.11482
218,12.1,0.121
219,11.471,0.11471
220,8.758,0.08758
221,6.843,0.06843
222,5.543,0.05543
223,6.339,0.06339
224,8.406,0.08406
225,10.591,0.10591
226,11.46,0.1146
227,10.344,0.10344
228,8.223,0.08223
229,5.988,0.05988
230,4.903,0.04903
231,6.024,0.06024
232,7.712,0.07712
233,9.976,0.09976
234,10.776,0.10776
235,9.33,0.0933
236,7.403,0.07403
237,5.3,0.053
238,4.416,0.04416
239,4.695,0.04695
240,6.257,0.06257
241,5.661,0.05661
242,5.965,0.05965
243,5.775,0.05775
244,5.842,0.05842
245,5.545,0.05545
246,5.393,0.05393
247,5.288,0.05288
248,5.203,0.05203
249,5.118,0.05118
250,5.474,0.05474
251,5.124,0.05124
252,5.173,0.05173
253,4.86,0.0486
254,4.63,0.0463
255,4.986,0.04986
256,4.956,0.04956
257,4.74,0.0474
258,4.713,0.04713
259,4.356,0.04356
260,4.268,0.04268
261,4.392,0.04392
262,4.245,0.04245
263,4.172,0.04172
264,4.015,0.04015
265,4.043,0.04043
266,4.178,0.04178
267,3.703,0.03703
268,4.01,0.0401
269,3.4,0.034
270,3.097,0.03097
271,2.718,0.02718
272,2.696,0.02696
273,2.503,0.02503
274,2.649,0.02649
275,2.353,0.02353
276,2.259,0.02259
277,2.427,0.02427
278,2.22,0.0222
279,2.184,0.02184
280,2.011,0.02011
281,1.756,0.01756
282,1.784,0.01784
283,1.645,0.01645
284,1.628,0.01628
285,1.537,0.01537
286,1.38,0.0138
287,1.139,0.01139
288,1.333,0.01333
289,0.948,0.00948
290,0.241,0.00241
291,0.238,0.00238
292,0.263,0.00263
293,0.222,0.00222
294,0.236,0.00236
295,0.278,0.00278
296,0.293,0.00293
297,0.275,0.00275
298,0.293,0.00293
299,0.202,0.00202
300,0.278,0.00278
